model,prompt_id,case_id,prompt,target,task,topic,layer,subspace_family,subspace_k,direction,sign,epsilon,mode,fisher_output_energy,latent_step_norm,hidden_step_norm,rho,entropy_before,entropy_after,delta_entropy,abs_delta_entropy,varentropy_before,varentropy_after,delta_varentropy,abs_delta_varentropy,confidence_before,confidence_after,delta_confidence,semantic_entropy_proxy_before,semantic_entropy_proxy_after,delta_semantic_entropy_proxy,semantic_density_uncertainty_before,semantic_density_uncertainty_after,delta_semantic_density_uncertainty,haloscope_style_consistency_risk_before,haloscope_style_consistency_risk_after,delta_haloscope_style_consistency_risk,selected_top1_before,selected_top1_after,selected_top1_changed,target_in_topm,target_top1_before,target_top1_after,target_correct_changed,target_prob_before,target_prob_after,delta_target_prob,top5_jaccard,top10_jaccard,top1_token_before,top1_token_after
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:7:0:layer12,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,12,state_pca,8,accessible_ls,increase,0.05,fisher_output_equal,0.05,0.22808606111403404,0.22808606111403398,0.9309700521235833,2.370026515019353,2.4116830218381304,0.041656506818777306,0.041656506818777306,0.7712106134354642,0.7010842875270142,-0.07012632590844992,0.07012632590844992,0.21987704771029984,0.2081369720229221,-0.011740075687377727,1.1311528847055174,1.15689904930929,0.02574616460377266,0.335426894800264,0.3378889867046977,0.002462091904433694,0.6312405973916676,0.6498689765783419,0.01862837918667426,141184,71821,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8181818181818182,でしょうね,_XDECREF
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:7:0:layer12,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,12,state_pca,8,accessible_ls,decrease,0.05,fisher_output_equal,0.05,0.22808606111403404,0.22808606111403398,0.9309700521235833,2.370026515019353,2.327045563864186,-0.04298095115516709,0.04298095115516709,0.7712106134354642,0.8401708657740343,0.06896025233857017,0.06896025233857017,0.21987704771029984,0.23162216275882488,0.011745115048525046,1.1311528847055174,1.1045926248249909,-0.02656025988052657,0.335426894800264,0.3327921683318201,-0.002634726468443871,0.6312405973916676,0.612447791577241,-0.01879280581442655,141184,141184,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,でしょうね,でしょうね
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:7:0:layer12,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,12,state_pca,8,grad_orthogonal_control,increase,0.05,fisher_output_equal,0.05,0.2816431383676474,0.2816431383676472,0.9309700521235833,2.370026515019353,2.3687216692363293,-0.0013048457830238114,0.0013048457830238114,0.7712106134354642,0.7827916530968545,0.011581039661390347,0.011581039661390347,0.21987704771029984,0.2344073247977055,0.014530277087405674,1.1311528847055174,1.1267055679517874,-0.004447316753730002,0.335426894800264,0.33552215633443816,9.52615341741625e-05,0.6312405973916676,0.6277788976660235,-0.0034616997256441406,141184,141184,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,でしょうね,でしょうね
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:7:0:layer12,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,12,state_pca,8,grad_orthogonal_control,decrease,0.05,fisher_output_equal,0.05,0.2816431383676474,0.2816431383676472,0.9309700521235833,2.370026515019353,2.3687309460923838,-0.0012955689269693593,0.0012955689269693593,0.7712106134354642,0.7655975559092255,-0.005613057526238641,0.005613057526238641,0.21987704771029984,0.20549147994667674,-0.014385567763623097,1.1311528847055174,1.135436679142343,0.004283794436825472,0.335426894800264,0.3350267406790919,-0.0004001541211721138,0.6312405973916676,0.6346507156439065,0.003410118252238914,141184,71821,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8181818181818182,でしょうね,_XDECREF
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:7:0:layer12,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,12,state_pca,8,random_control,increase,0.05,fisher_output_equal,0.05,0.18895629963748217,0.18895629963748212,0.9309700521235833,2.370026515019353,2.3927583101371073,0.02273179511775414,0.02273179511775414,0.7712106134354642,0.7207005595884364,-0.05051005384702778,0.05051005384702778,0.21987704771029984,0.21673720035059826,-0.0031398473597015752,1.1311528847055174,1.146481371784191,0.015328487078673625,0.335426894800264,0.33661744732880483,0.0011905525285408336,0.6312405973916676,0.6442697597486541,0.013029162356986479,141184,141184,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,でしょうね,でしょうね
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:7:0:layer12,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,12,state_pca,8,random_control,decrease,0.05,fisher_output_equal,0.05,0.18895629963748217,0.18895629963748212,0.9309700521235833,2.370026515019353,2.344827955037646,-0.02519855998170728,0.02519855998170728,0.7712106134354642,0.8261091942642943,0.054898580828830146,0.054898580828830146,0.21987704771029984,0.22245084254580558,0.0025737948355057383,1.1311528847055174,1.1149850455593893,-0.016167839146128182,0.335426894800264,0.33389709648815435,-0.0015297983121096426,0.6312405973916676,0.6179681515468827,-0.01327244584478493,141184,71821,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8181818181818182,でしょうね,_XDECREF
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:7:0:layer12,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,12,delta_pca,8,accessible_ls,increase,0.05,fisher_output_equal,0.05,0.4321410352082177,0.4321410352082179,0.501337553077608,2.370026515019353,2.4000909426778474,0.030064427658494264,0.030064427658494264,0.7712106134354642,0.7140861678383288,-0.057124445597135365,0.057124445597135365,0.21987704771029984,0.2049697582648236,-0.01490728944547623,1.1311528847055174,1.148097582579648,0.016944697874130554,0.335426894800264,0.33661614368497683,0.0011892488847128346,0.6312405973916676,0.6445512240724343,0.013310626680766657,141184,71821,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,でしょうね,_XDECREF
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:7:0:layer12,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,12,delta_pca,8,accessible_ls,decrease,0.05,fisher_output_equal,0.05,0.4321410352082177,0.4321410352082179,0.501337553077608,2.370026515019353,2.337984046776133,-0.03204246824322032,0.03204246824322032,0.7712106134354642,0.8307565028493977,0.05954588941393357,0.05954588941393357,0.21987704771029984,0.23521862576683145,0.015341578056531607,1.1311528847055174,1.1135108283424178,-0.01764205636309968,0.335426894800264,0.3339565349870668,-0.0014703598131972084,0.6312405973916676,0.6177223212010912,-0.01351827619057644,141184,141184,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8181818181818182,でしょうね,でしょうね
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:7:0:layer12,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,12,delta_pca,8,grad_orthogonal_control,increase,0.05,fisher_output_equal,0.05,0.18010861576338646,0.18010861576338652,0.501337553077608,2.370026515019353,2.369135839336058,-0.0008906756832951501,0.0008906756832951501,0.7712106134354642,0.7717985201386507,0.0005879067031865359,0.0005879067031865359,0.21987704771029984,0.22856851304370163,0.008691465333401788,1.1311528847055174,1.1266401459871749,-0.004512738718342568,0.335426894800264,0.33539140264063816,-3.5492159625838404e-05,0.6312405973916676,0.6274367097146902,-0.003803887676977369,141184,141184,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8181818181818182,でしょうね,でしょうね
Qwen/Qwen2.5-0.5B,qwen_qwen2.5-0.5b:token_level_qa:7:0:layer12,token_level_qa:7:0,"Question: What animal barks?
Answer:",dog,token_level_qa,animal,12,delta_pca,8,grad_orthogonal_control,decrease,0.05,fisher_output_equal,0.05,0.18010861576338646,0.18010861576338652,0.501337553077608,2.370026515019353,2.3691452797950796,-0.0008812352242735244,0.0008812352242735244,0.7712106134354642,0.7731745888511494,0.0019639754156852707,0.0019639754156852707,0.21987704771029984,0.21097991245389688,-0.008897135256402955,1.1311528847055174,1.1357855986266188,0.004632713921101317,0.335426894800264,0.3353073086653031,-0.00011958613496088066,0.6312405973916676,0.6351326680217034,0.0038920706300358265,141184,71821,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8181818181818182,でしょうね,_XDECREF
