pair_id,rho_group,match_distance,model,task,observed_condition,layer,subspace_family,prompt_id,prompt,target,target_id,rho,confidence,entropy,varentropy,margin,final_top1_token,variant_type,variant_prompt,top1_before,top1_after,answer_flipped,answer_prob_before,answer_prob_after,answer_prob_drop,entropy_before_eval,entropy_after_eval,entropy_increase,varentropy_before_eval,varentropy_after_eval,varentropy_delta,confidence_before_full,confidence_after_full,confidence_drop,correct_before_eval,correct_after_eval,correctness_lost,candidate_set_kl,top10_jaccard,top10_jaccard_drop,brier_degradation,fragility_score
bert-base-uncased:factual_deep:correct:4:delta_pca:0,low_rho,1.7409939009339792,bert-base-uncased,factual_deep,correct,4,delta_pca,13,"In France, the capital city is [MASK].",paris,3000.0,0.2526696048273351,0.1311095391461732,3.101339656910148,0.7725146377120854,0.1307506561279297,paris,neutral_prefix,"For reference, In France, the capital city is [MASK].",paris,paris,0,0.28906532006567354,0.4228367345230043,-0.13377141445733076,2.6228664748209543,2.240912231672029,-0.38195424314892534,1.475505364370315,2.2606691986606435,0.7851638342903284,0.28906532006567354,0.4228367345230043,-0.13377141445733076,1,1,0,0.07613171791274762,0.8181818181818182,0.18181818181818177,-0.1723106841172542,0.2579498997309294
bert-base-uncased:factual_deep:correct:4:delta_pca:0,low_rho,1.7409939009339792,bert-base-uncased,factual_deep,correct,4,delta_pca,13,"In France, the capital city is [MASK].",paris,3000.0,0.2526696048273351,0.1311095391461732,3.101339656910148,0.7725146377120854,0.1307506561279297,paris,neutral_suffix,"In France, the capital city is [MASK]. This extra sentence is unrelated.",paris,paris,0,0.28906532006567354,0.5125880302558731,-0.22352271019019954,2.6228664748209543,1.889138804519572,-0.7337276703013822,1.475505364370315,2.8311955758501197,1.3556902114798046,0.28906532006567354,0.5125880302558731,-0.22352271019019954,1,1,0,0.3232072128955657,0.5384615384615384,0.46153846153846156,-0.2678576908834735,0.7847456744340273
bert-base-uncased:factual_deep:correct:4:delta_pca:0,low_rho,1.7409939009339792,bert-base-uncased,factual_deep,correct,4,delta_pca,13,"In France, the capital city is [MASK].",paris,3000.0,0.2526696048273351,0.1311095391461732,3.101339656910148,0.7725146377120854,0.1307506561279297,paris,quiz_format,"In a short quiz, In France, the capital city is [MASK].",paris,paris,0,0.28906532006567354,0.5152137128583131,-0.22614839279263954,2.6228664748209543,1.8282927322752145,-0.7945737425457398,1.475505364370315,3.260339900388595,1.7848345360182798,0.28906532006567354,0.5152137128583131,-0.22614839279263954,1,1,0,0.3735477148991571,0.5384615384615384,0.46153846153846156,-0.27041037493270104,0.8350861764376187
bert-base-uncased:factual_deep:correct:4:delta_pca:0,high_rho,1.7409939009339792,bert-base-uncased,factual_deep,correct,4,delta_pca,4,A person who treats patients is a [MASK].,doctor,3460.0,0.4828017839595465,0.130640967206279,3.2048425421121527,0.5801288975323766,0.2028841972351074,doctor,neutral_prefix,"For reference, A person who treats patients is a [MASK].",doctor,doctor,0,0.41249169106563394,0.3598557901255958,0.052635900940038116,1.868307920544551,1.956236507932831,0.08792858738828002,1.7747070136491518,1.578176565746464,-0.19653044790268792,0.41249169106563394,0.3598557901255958,0.052635900940038116,1,1,0,0.05284010988598567,1.0,0.0,0.06461859636880668,0.1934045982143038
bert-base-uncased:factual_deep:correct:4:delta_pca:0,high_rho,1.7409939009339792,bert-base-uncased,factual_deep,correct,4,delta_pca,4,A person who treats patients is a [MASK].,doctor,3460.0,0.4828017839595465,0.130640967206279,3.2048425421121527,0.5801288975323766,0.2028841972351074,doctor,neutral_suffix,A person who treats patients is a [MASK]. This extra sentence is unrelated.,doctor,patient,1,0.41249169106563394,0.23646681506849282,0.17602487599714112,1.868307920544551,1.7880706854142379,-0.08023723513031311,1.7747070136491518,1.8185322682767642,0.04382525462761233,0.41249169106563394,0.3857018802392558,0.026789810826378158,1,0,1,0.32445941381226623,0.8181818181818182,0.18181818181818177,-0.19640007264682124,2.682302471627589
bert-base-uncased:factual_deep:correct:4:delta_pca:0,high_rho,1.7409939009339792,bert-base-uncased,factual_deep,correct,4,delta_pca,4,A person who treats patients is a [MASK].,doctor,3460.0,0.4828017839595465,0.130640967206279,3.2048425421121527,0.5801288975323766,0.2028841972351074,doctor,quiz_format,"In a short quiz, A person who treats patients is a [MASK].",doctor,doctor,0,0.41249169106563394,0.4026618499432766,0.009829841122357352,1.868307920544551,2.027094111985869,0.158786191441318,1.7747070136491518,2.687306015490611,0.9125990018414591,0.41249169106563394,0.4026618499432766,0.009829841122357352,1,1,0,0.3432912731925836,0.5384615384615384,0.46153846153846156,0.011646852446270173,0.9734457672947205
bert-base-uncased:factual_deep:correct:4:delta_pca:0,high_rho,1.7409939009339792,bert-base-uncased,factual_deep,correct,4,delta_pca,4,A person who treats patients is a [MASK].,doctor,3460.0,0.4828017839595465,0.130640967206279,3.2048425421121527,0.5801288975323766,0.2028841972351074,doctor,template_rewrite,Someone who treats patients is a [MASK].,doctor,doctor,0,0.41249169106563394,0.5669121461220216,-0.15442045505638763,1.868307920544551,1.6572374505697973,-0.21107046997475365,1.7747070136491518,2.913525592124083,1.1388185784749312,0.41249169106563394,0.5669121461220216,-0.15442045505638763,1,1,0,0.1960165268877827,0.6666666666666666,0.33333333333333337,-0.15760092389028527,0.5293498602211161
bert-base-uncased:factual_deep:correct:4:delta_pca:0,high_rho,1.7409939009339792,bert-base-uncased,factual_deep,correct,4,delta_pca,4,A person who treats patients is a [MASK].,doctor,3460.0,0.4828017839595465,0.130640967206279,3.2048425421121527,0.5801288975323766,0.2028841972351074,doctor,synonym_substitution,A individual who treats patients is a [MASK].,doctor,physician,1,0.41249169106563394,0.2762145848311126,0.13627710623452133,1.868307920544551,1.9685109903682394,0.10020306982368843,1.7747070136491518,1.6950762822437402,-0.07963073140541166,0.41249169106563394,0.2911817684031892,0.12130992266244472,1,0,1,0.07773313859642517,1.0,0.0,-0.26037919081650995,2.3142133146546353
bert-base-uncased:factual_deep:correct:4:delta_pca:1,low_rho,1.652554441305657,bert-base-uncased,factual_deep,correct,4,delta_pca,10,The opposite of early is [MASK].,late,2397.0,0.3343894274128636,0.177591990585772,3.082453321940104,0.8537823326879781,0.5963630676269531,late,neutral_prefix,"For reference, The opposite of early is [MASK].",late,early,1,0.2185172502111196,0.1360234348561152,0.08249381535500439,2.0253559164966974,2.192013745265938,0.16665782876924062,2.6432302867504305,2.4778854603993956,-0.16534482635103487,0.2185172502111196,0.21046475377065288,0.008052496440466711,1,0,1,0.07887238168914096,0.42857142857142855,0.5714285714285714,-0.5664198756378483,2.8994525972419574
bert-base-uncased:factual_deep:correct:4:delta_pca:1,low_rho,1.652554441305657,bert-base-uncased,factual_deep,correct,4,delta_pca,10,The opposite of early is [MASK].,late,2397.0,0.3343894274128636,0.177591990585772,3.082453321940104,0.8537823326879781,0.5963630676269531,late,neutral_suffix,The opposite of early is [MASK]. This extra sentence is unrelated.,late,early,1,0.2185172502111196,0.12700410051994288,0.09151314969117672,2.0253559164966974,1.9927451128751812,-0.03261080362151625,2.6432302867504305,2.6038870668878147,-0.0393432198626158,0.2185172502111196,0.2652046314447281,-0.04668738123360852,1,0,1,0.28845060636188596,0.17647058823529413,0.8235294117647058,-0.5403817916778558,3.2034931678177685
