row_a,row_b,pair_score,match_distance_z,rho_abs_diff,model_a,model_b,prompt_id_a,prompt_id_b,prompt_a,prompt_b,layer_a,layer_b,subspace_family_a,subspace_family_b,subspace_k_a,subspace_k_b,rho_a,rho_b,grad_entropy_proj_norm_a,grad_entropy_proj_norm_b,grad_varentropy_proj_norm_a,grad_varentropy_proj_norm_b,entropy_a,entropy_b,varentropy_a,varentropy_b,entropy_abs_diff,varentropy_abs_diff,confidence_abs_diff,margin_abs_diff,grad_entropy_proj_norm_abs_diff,grad_varentropy_proj_norm_abs_diff,fisher_output_fro_norm_abs_diff,jacobian_fro_norm_abs_diff
0,2,0.387589199270374,0.2732739742584578,0.4935072401346424,distilbert-base-uncased,distilbert-base-uncased,8,8,A person who drives a bus is a [MASK].,A person who drives a bus is a [MASK].,4,4,state_pca,random,8,8,0.7319211799586998,0.2384139398240573,0.0477774487664362,0.0265521126856217,0.1106301660513939,0.0671099810731535,3.359322808803692,3.359322808803692,0.2347385589214404,0.2347385589214404,0.0,0.0,0.0,0.0,0.0212253360808145,0.04352018497824041,0.002347633511552649,0.5644410716766433
0,1,0.30758417216041345,0.5770204312623238,0.48506652382988,bert-base-uncased,bert-base-uncased,1,1,The plural of person is [MASK].,The plural of person is [MASK].,4,4,state_pca,delta_pca,8,8,0.6479735115770585,0.1629069877471785,0.1185393169422695,0.0465444776776378,0.2407809765691445,0.0745560042901951,3.2449700647681388,3.2449700647681388,0.4516894624530817,0.4516894624530817,0.0,0.0,0.0,0.0,0.07199483926463171,0.1662249722789494,0.06638223338720067,0.3097257724336435
1,2,0.2834909199767306,0.545000201881718,0.4379935285956827,distilbert-base-uncased,distilbert-base-uncased,20,20,The language of Germany is [MASK].,The language of Germany is [MASK].,4,4,delta_pca,random,8,8,0.7412256346254924,0.3032321060298097,0.0740695216657803,0.0312643514058923,0.1800810018459423,0.0734411674193921,3.38676244222388,3.38676244222388,0.1812500964261921,0.1812500964261921,0.0,0.0,0.0,0.0,0.042805170259888004,0.1066398344265502,0.10899489678695962,0.48616934881747387
0,1,0.2643473622976449,0.5472518103736344,0.4090119348825261,distilbert-base-uncased,distilbert-base-uncased,12,12,The farmer bought the [MASK].,The farmer bought the [MASK].,4,4,state_pca,delta_pca,8,8,0.2822245789527572,0.6912365138352833,0.0966810410899595,0.1862734158505283,0.2085799140070285,0.3468037634721705,2.967620062731163,2.967620062731163,1.112122403457403,1.112122403457403,0.0,0.0,0.0,0.0,0.08959237476056882,0.13822384946514202,0.019816695806570084,0.350047009772243
0,1,0.26013805545005936,0.5620721250429643,0.4063544050814187,bert-base-uncased,bert-base-uncased,13,13,"In France, the capital city is [MASK].","In France, the capital city is [MASK].",4,4,state_pca,delta_pca,8,8,0.6590240099087538,0.2526696048273351,0.1213384210527464,0.0615702760728999,0.2300182946989221,0.1090314895856975,3.101339656910148,3.101339656910148,0.7725146377120854,0.7725146377120854,0.0,0.0,0.0,0.0,0.059768144979846505,0.1209868051132246,0.08171995968945084,0.6534782287851657
0,2,0.28438732188753724,0.3938986357773122,0.3964071000114015,bert-base-uncased,bert-base-uncased,4,4,A person who treats patients is a [MASK].,A person who treats patients is a [MASK].,8,8,state_pca,random,8,8,0.7697406121185779,0.3733335121071764,0.0895473371831191,0.0507704278556788,0.2139729891122787,0.1191366322212646,3.2038672921255085,3.2038672921255085,0.5574604450147423,0.5574604450147423,0.0,0.0,0.0,0.0,0.038776909327440295,0.09483635689101409,0.06124143471470511,0.3853739390901334
1,2,0.3230377700245584,0.19767272219759544,0.38689352539795363,bert-base-uncased,bert-base-uncased,23,23,The color of grass is usually [MASK].,The color of grass is usually [MASK].,8,8,delta_pca,random,8,8,0.5461466984004005,0.1592531730024469,0.0437203057019228,0.0287594720858064,0.1111853894346155,0.0816170833058407,3.196580811097527,3.196580811097527,0.5936532064590924,0.5936532064590924,0.0,0.0,0.0,0.0,0.014960833616116397,0.0295683061287748,0.04456030195317001,0.142363805808692
0,2,0.24413929460712025,0.577072761788183,0.38502543160707,distilbert-base-uncased,distilbert-base-uncased,16,16,The continent containing Egypt is [MASK].,The continent containing Egypt is [MASK].,4,4,state_pca,random,8,8,0.3975880172376141,0.7826134488446841,0.0971216449207446,0.1523176051010981,0.2676830495926246,0.4100838005030657,3.025660012074921,3.025660012074921,1.1555818877111854,1.1555818877111854,0.0,0.0,0.0,0.0,0.0551959601803535,0.14240075091044108,0.04010412810115033,0.8961290085255134
0,1,0.317969553941228,0.10257934424759983,0.35058666227522095,distilbert-base-uncased,distilbert-base-uncased,22,22,The currency of Spain is the [MASK].,The currency of Spain is the [MASK].,2,2,state_pca,delta_pca,8,8,0.6747881915483844,0.3242015292731635,0.1157246874433572,0.0983136972577286,0.2574197927348383,0.2358444147565336,3.297908634594157,3.297908634594157,0.3672992877614309,0.3672992877614309,0.0,0.0,0.0,0.0,0.01741099018562861,0.021575377978304694,0.0042219858538583566,0.08829879773590399
0,1,0.20132259264401656,0.7309639660298124,0.34848215341449124,distilbert-base-uncased,distilbert-base-uncased,15,15,The patient waited for the [MASK].,The patient waited for the [MASK].,4,4,state_pca,delta_pca,8,8,0.5273572322151728,0.1788750788006816,0.1049851439962416,0.0260831230480943,0.2247176182434797,0.0545321563382882,3.2141653824087086,3.2141653824087086,0.5364458275914877,0.5364458275914877,0.0,0.0,0.0,0.0,0.0789020209481473,0.1701854619051915,0.0999521509218605,0.817410178257016
