model,prompt_id,prompt,target,task,topic,layer,subspace_family,subspace_k,rep,rho,v_access,v_inaccess,rank_whitened_jb,output_energy_unit,first_order_entropy,clean_correct,clean_confidence,clean_nll,clean_brier,route_role
distilbert-base-uncased,1,The language of Portugal is [MASK].,portuguese,factual_deep,language,6,state_pca,8,0,0.9260041502690175,1.5057381203413447,0.12032167637112412,8,0.08461865279770867,0.10383429760508582,1,0.902481148599316,0.1026074769718551,0.011711628329263535,high_rho_route
distilbert-base-uncased,1,The language of Portugal is [MASK].,portuguese,factual_deep,language,2,delta_pca,8,0,0.5103579532886281,0.24448945228112065,0.23456539678253635,8,0.2427821499138487,0.12004575759036147,0,0.019823319560725337,9.392207847913365,1.0009410655458477,low_rho_route
distilbert-base-uncased,1,The language of Portugal is [MASK].,portuguese,factual_deep,language,6,random,8,0,0.6962903601210062,1.1322097614312179,0.493850035281256,8,0.05839552926272544,0.06213596484235637,1,0.902481148599316,0.1026074769718551,0.011711628329263535,random_route
distilbert-base-uncased,2,The red planet is [MASK].,mars,factual_simple,science,2,delta_pca,8,0,0.6098910313666904,0.367244224905967,0.23490305390057323,8,0.19131026266462606,0.11593531744218143,0,0.017412283383257406,11.902940820913246,1.0012705930235792,high_rho_route
distilbert-base-uncased,2,The red planet is [MASK].,mars,factual_simple,science,6,state_pca,8,0,0.32464176525460875,0.14598349294338347,0.3036921451523251,8,0.24215162795217743,0.09252077638693924,0,0.03765025520818478,3.8673772200579375,0.963983499083344,low_rho_route
distilbert-base-uncased,2,The red planet is [MASK].,mars,factual_simple,science,4,random,8,0,0.5664636998898814,0.7939619912313666,0.6076494295634867,8,0.1269857488435265,0.11315007352702762,0,0.05712178577753786,8.503732093304443,1.0040024326704329,random_route
distilbert-base-uncased,4,Isaac [MASK] described gravity.,newton,factual_deep,culture,6,delta_pca,8,0,0.9509875854426142,0.4825334840117899,0.024869021970669654,8,0.046359146202387666,0.03220320944431879,1,0.9843763169413244,0.0157470191238791,0.00024806403073507344,high_rho_route
distilbert-base-uncased,4,Isaac [MASK] described gravity.,newton,factual_deep,culture,2,state_pca,8,0,0.5069492203622342,0.21620164450285978,0.21027429395183528,8,0.17146767821028283,0.0797281641086245,0,0.03136096477852161,7.5117952584083225,1.0032117172425277,low_rho_route
distilbert-base-uncased,4,Isaac [MASK] described gravity.,newton,factual_deep,culture,4,random,8,0,0.7705712501189103,1.5948650784248746,0.4748527811225249,8,0.17832518580672777,0.22520325304163968,1,0.10270629986483447,2.2758818215255414,0.8068054715280416,random_route
distilbert-base-uncased,5,The capital of Syria is [MASK].,damascus,factual_simple,capital,6,delta_pca,8,0,0.9736508068534975,0.6223256429076968,0.016841539543306777,8,0.04092431209422725,0.032284215397008084,1,0.6980086337652032,0.35952380700514164,0.1744363002056477,high_rho_route
distilbert-base-uncased,5,The capital of Syria is [MASK].,damascus,factual_simple,capital,4,delta_pca,8,0,0.2636662722662732,0.0682996331323945,0.1907385538353326,8,0.08228598640865542,0.021504783027083463,0,0.008084710063420156,6.056503448853422,0.9958930942764951,low_rho_route
distilbert-base-uncased,5,The capital of Syria is [MASK].,damascus,factual_simple,capital,6,random,8,0,0.8367067782038909,0.5347955139622382,0.10437166848876547,8,0.01977946956657682,0.014464669619285093,1,0.6980086337652032,0.35952380700514164,0.1744363002056477,random_route
distilbert-base-uncased,7,A person who flies planes is a [MASK].,pilot,factual_deep,role,2,state_pca,8,0,0.5789032986582353,0.20120061974385164,0.14635417949496538,8,0.14361593319303556,0.0644194899036841,0,0.010427649160619404,7.489767091332139,0.9996593425749772,high_rho_route
distilbert-base-uncased,7,A person who flies planes is a [MASK].,pilot,factual_deep,role,6,state_pca,8,0,0.2388857898442809,0.28779740857957714,0.9169515585614977,8,0.203899731109792,0.10938558470475185,1,0.09878778559014825,2.3147813095009186,0.822409104769827,low_rho_route
distilbert-base-uncased,7,A person who flies planes is a [MASK].,pilot,factual_deep,role,6,random,8,0,0.6738632037474808,0.8118359987091528,0.39291296843192125,8,0.24345947257289438,0.2193617132429145,1,0.09878778559014825,2.3147813095009186,0.822409104769827,random_route
distilbert-base-uncased,8,Two plus two equals [MASK].,four,factual_simple,math,2,delta_pca,8,0,0.9150221638174206,2.23716499573953,0.20776484771497827,8,0.27400113794248016,0.40982776175157254,0,0.07124570293280756,10.058464066464413,1.0056426942226533,high_rho_route
distilbert-base-uncased,8,Two plus two equals [MASK].,four,factual_simple,math,6,delta_pca,8,0,0.7181953864980734,1.2755442495096565,0.5004964679463855,8,0.1820714951208959,0.20563153768342032,0,0.25604230440828074,3.061733389712124,1.0135317126754748,low_rho_route
distilbert-base-uncased,8,Two plus two equals [MASK].,four,factual_simple,math,2,random,8,0,0.868280582901046,2.122885109626842,0.3220447338276658,8,0.16682934005502936,0.2430724157627166,0,0.07124570293280756,10.058464066464413,1.0056426942226533,random_route
