model,prompt_id,prompt,task,topic,layer,target,target_id,rho_scope,pred_id,correct,confidence,target_prob,nll,brier,entropy_full
distilbert-base-uncased,1,The language of Portugal is [MASK].,factual_deep,language,2,portuguese,5077,layer_prompt,14128,0,0.019823319560725337,8.33711819972575e-05,9.392207847913365,1.0009410655458477,8.634868896095348
distilbert-base-uncased,2,The red planet is [MASK].,factual_simple,science,2,mars,7733,layer_prompt,14128,0,0.017412283383257406,6.7704647773120675e-06,11.902940820913246,1.0012705930235792,8.645608680415998
distilbert-base-uncased,4,Isaac [MASK] described gravity.,factual_deep,culture,2,newton,8446,layer_prompt,6524,0,0.03136096477852161,0.0005465989210465452,7.5117952584083225,1.0032117172425277,7.566511765714798
distilbert-base-uncased,5,The capital of Syria is [MASK].,factual_simple,capital,2,damascus,16094,layer_prompt,14128,0,0.008514617019287433,5.718697766648584e-05,9.769184348671041,1.0005008391873018,8.80901154238364
distilbert-base-uncased,7,A person who flies planes is a [MASK].,factual_deep,role,2,pilot,4405,layer_prompt,8257,0,0.010427649160619404,0.0005587730884205708,7.489767091332139,0.9996593425749772,8.545461261577818
distilbert-base-uncased,8,Two plus two equals [MASK].,factual_simple,math,2,four,2176,layer_prompt,4414,0,0.07124570293280756,4.282176457740442e-05,10.058464066464413,1.0056426942226533,8.508642793288793
distilbert-base-uncased,10,The capital of Pakistan is [MASK].,factual_deep,capital,2,islamabad,26905,layer_prompt,14128,0,0.013319241707518107,9.409109841181756e-05,9.271247112958926,1.00052834835501,8.78709391059433
distilbert-base-uncased,11,A person who drives a bus is a [MASK].,factual_simple,role,2,driver,4062,layer_prompt,8257,0,0.009198585641954436,0.00010837677575043613,9.129896737757333,1.0005406154638676,8.479570740446498
distilbert-base-uncased,14,The opposite of day is [MASK].,factual_simple,lexical,2,night,2305,layer_prompt,14128,0,0.0097391302931368,1.8937326214359817e-06,13.176960744530321,1.000728619771935,8.780801532294817
distilbert-base-uncased,16,Black has the opposite meaning of [MASK].,factual_deep,antonym,2,white,2317,layer_prompt,4385,0,0.007415918930122127,0.00013627362528263403,8.900845742882577,1.000114174740534,9.054629626067882
distilbert-base-uncased,17,The capital of Chile is [MASK].,factual_simple,capital,2,santiago,8728,layer_prompt,14128,0,0.017820465038840497,3.325494540041048e-05,10.31130706807526,1.0007802070964313,8.75885745406994
distilbert-base-uncased,19,Five minus two equals [MASK].,factual_deep,math,2,three,2093,layer_prompt,4414,0,0.07567317665229555,2.8360847491947178e-05,10.470500973391868,1.006385487118013,8.504320111010497
distilbert-base-uncased,20,The language of France is [MASK].,factual_simple,language,2,french,2413,layer_prompt,14128,0,0.016162141372122515,1.6869516644270392e-05,10.990002313608782,1.0009058866498148,8.65993238947403
distilbert-base-uncased,22,The plural of person is [MASK].,factual_deep,plural,2,people,2111,layer_prompt,22216,0,0.011692173545236306,7.610605885122655e-05,9.4833826792984,1.0006752813278394,8.771675077365975
distilbert-base-uncased,23,The capital of Nepal is [MASK].,factual_simple,capital,2,kathmandu,28045,layer_prompt,14128,0,0.0137226557783914,4.035667167585364e-05,10.11775383178983,1.0006422147960308,8.780808499417777
distilbert-base-uncased,25,The continent containing Thailand is [MASK].,factual_deep,continent,2,asia,4021,layer_prompt,14128,0,0.01838255232668624,9.536421313025493e-05,9.257807174307608,1.0009586752410342,8.654473380658963
distilbert-base-uncased,26,The capital of Iraq is [MASK].,factual_simple,capital,2,baghdad,13952,layer_prompt,14128,0,0.012169523345144201,1.3195880437698918e-05,11.235605865134673,1.0006948010710703,8.761570861104003
distilbert-base-uncased,28,The usual color of grass is [MASK].,factual_deep,common,2,green,2665,layer_prompt,14128,0,0.02228045332186526,8.950893746201036e-05,9.321172077758403,1.000894522999487,8.785117659346446
distilbert-base-uncased,29,A rose is a [MASK].,factual_simple,common,2,flower,6546,layer_prompt,11449,0,0.008116168692817864,2.3043623183132356e-06,12.980706571281749,1.0007610985175976,8.478330987241076
distilbert-base-uncased,1,The language of Portugal is [MASK].,factual_deep,language,4,portuguese,5077,layer_prompt,7025,0,0.008673850915833678,0.00013184864161410983,8.933855947727645,1.0003896427275345,8.734320445316678
distilbert-base-uncased,2,The red planet is [MASK].,factual_simple,science,4,mars,7733,layer_prompt,14128,0,0.05712178577753786,0.00020271042131850457,8.503732093304443,1.0040024326704329,8.017555380439514
distilbert-base-uncased,4,Isaac [MASK] described gravity.,factual_deep,culture,4,newton,8446,layer_prompt,8446,1,0.10270629986483447,0.10270629986483447,2.2758818215255414,0.8068054715280416,7.113606510251839
distilbert-base-uncased,5,The capital of Syria is [MASK].,factual_simple,capital,4,damascus,16094,layer_prompt,8728,0,0.008084710063420156,0.0023425775263163176,6.056503448853422,0.9958930942764951,8.662288099896074
distilbert-base-uncased,7,A person who flies planes is a [MASK].,factual_deep,role,4,pilot,4405,layer_prompt,10563,0,0.017088454713167982,0.00021059004918428745,8.465597209217899,1.001659456102568,7.504747534314118
distilbert-base-uncased,8,Two plus two equals [MASK].,factual_simple,math,4,four,2176,layer_prompt,6974,0,0.029783320549950063,7.006384696219806e-05,9.566103632164895,1.001984117167538,8.827712582343256
distilbert-base-uncased,10,The capital of Pakistan is [MASK].,factual_deep,capital,4,islamabad,26905,layer_prompt,14005,0,0.006723848288983604,0.0007811759280657416,7.154710173484463,0.9990693989269489,8.528362213680253
distilbert-base-uncased,11,A person who drives a bus is a [MASK].,factual_simple,role,4,driver,4062,layer_prompt,12383,0,0.016616248448381034,0.00047892138120431854,7.6439741051217975,1.001116981684808,7.547264235400954
distilbert-base-uncased,14,The opposite of day is [MASK].,factual_simple,lexical,4,night,2305,layer_prompt,14635,0,0.011822208674080022,3.012727807595769e-06,12.71266464122793,1.0007083704314614,8.805318027563843
distilbert-base-uncased,16,Black has the opposite meaning of [MASK].,factual_deep,antonym,4,white,2317,layer_prompt,2500,0,0.00620153157101561,4.809845808926724e-05,9.942260437722565,1.0002401737040054,9.049355051066462
distilbert-base-uncased,17,The capital of Chile is [MASK].,factual_simple,capital,4,santiago,8728,layer_prompt,13158,0,0.0066753133730482845,0.005911958537569215,5.130778108627201,0.988673802751019,8.78618019948938
distilbert-base-uncased,19,Five minus two equals [MASK].,factual_deep,math,4,three,2093,layer_prompt,6974,0,0.024203182344586422,5.029697017191944e-05,9.897565717823497,1.0015470918241185,8.777114662881806
