model,task_id,task_type,step_id,layer,subspace_family,subspace_k,goal,state,hazard,gold_action,chosen_action,immediate_correct,needs_external_support,should_retrieve,should_clarify,should_verify,should_not_act,confidence,entropy,varentropy,margin,self_consistency,chosen_action_consistency,verbalized_confidence,verbalized_confidence_label,rho,inaccessibility,inaccessible_confidence,v_access,v_inaccess,rank_whitened_jb,grad_entropy_proj_norm,fisher_output_fro_norm,future_failure,pre_failure_after_correct
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,0,12,state_pca,4,Choose a product for a user.,The user asks for the best laptop but gives no budget or use case.,needs preferences,C,B,0,1,0,1,0,0,0.272413075837641,1.649722931489226,0.24361753682723197,0.016504673914563006,0.5,0.25,0.4641639366249401,low,0.6511729642256525,0.3488270357743475,0.09502504575061684,0.5747782538438109,0.30790313101268885,4,0.05705561754486397,0.16130723451435974,1,0
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,0,12,delta_pca,4,Choose a product for a user.,The user asks for the best laptop but gives no budget or use case.,needs preferences,C,B,0,1,0,1,0,0,0.272413075837641,1.649722931489226,0.24361753682723197,0.016504673914563006,0.5,0.25,0.4641639366249401,low,0.9980484984718391,0.001951501528160926,0.0005316145337881747,0.8809588307850731,0.0017225540714266296,4,0.12032617836711763,0.22244269714641382,1,0
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,0,12,random,4,Choose a product for a user.,The user asks for the best laptop but gives no budget or use case.,needs preferences,C,B,0,1,0,1,0,0,0.272413075837641,1.649722931489226,0.24361753682723197,0.016504673914563006,0.5,0.25,0.4641639366249401,low,0.9947610631782233,0.005238936821776674,0.0014271548937392592,0.8780570728474781,0.004624312009021581,4,0.1681788832526219,0.2323299059488656,1,0
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,1,12,state_pca,4,Choose a product for a user.,Budget and use case are known but current prices are unknown.,needs retrieval,B,B,1,1,1,0,0,0,0.3589377924845053,1.5542200028975532,0.3901441299840021,0.09219787456255968,0.75,0.75,0.47266700906341313,low,0.6442102576260047,0.3557897423739953,0.12770638471635273,0.592253586558882,0.32709468451865487,4,0.054308336629043656,0.16094705528039108,1,1
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,1,12,delta_pca,4,Choose a product for a user.,Budget and use case are known but current prices are unknown.,needs retrieval,B,B,1,1,1,0,0,0,0.3589377924845053,1.5542200028975532,0.3901441299840021,0.09219787456255968,0.75,0.75,0.47266700906341313,low,0.9996850341093821,0.0003149658906178576,0.00011305316148628997,0.919058707730549,0.00028956334698793107,4,0.12630724134421087,0.22456125401527297,1,1
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,1,12,random,4,Choose a product for a user.,Budget and use case are known but current prices are unknown.,needs retrieval,B,B,1,1,1,0,0,0,0.3589377924845053,1.5542200028975532,0.3901441299840021,0.09219787456255968,0.75,0.75,0.47266700906341313,low,0.9959034060186891,0.004096593981310903,0.0014704224003570464,0.9155820744835121,0.0037661965940247732,4,0.17359867261012782,0.23626237629093957,1,1
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,2,12,state_pca,4,Choose a product for a user.,Prices are known; two options trade battery for performance.,needs comparison,A,B,0,0,0,0,0,0,0.2758584485002329,1.6520836864709914,0.24045383710866233,0.00848727220272616,0.5,0.5,0.47818987203086527,medium,0.6328659171487914,0.36713408285120863,0.10127703848689038,0.5776485243919219,0.33510172607876754,4,0.05458554916642591,0.1618330455261817,1,0
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,2,12,delta_pca,4,Choose a product for a user.,Prices are known; two options trade battery for performance.,needs comparison,A,B,0,0,0,0,0,0,0.2758584485002329,1.6520836864709914,0.24045383710866233,0.00848727220272616,0.5,0.5,0.47818987203086527,medium,0.9993453241933183,0.0006546758066816594,0.00018059785230184095,0.9121526949641637,0.0005975555065257376,4,0.12585532892325654,0.22522307505327258,1,0
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,2,12,random,4,Choose a product for a user.,Prices are known; two options trade battery for performance.,needs comparison,A,B,0,0,0,0,0,0,0.2758584485002329,1.6520836864709914,0.24045383710866233,0.00848727220272616,0.5,0.5,0.47818987203086527,medium,0.9950507463954595,0.00494925360454046,0.0013652934205827165,0.9082328180035022,0.004517432467187277,4,0.17433703099592535,0.2377386167121734,1,0
Qwen/Qwen2.5-0.5B,shopping_agent,tool_use,3,12,state_pca,4,Choose a product for a user.,"A recommendation is selected, but availability changed in one source.",needs verification,D,B,0,1,0,0,1,0,0.3444745575021148,1.610974720094,0.3264400073187101,0.09245158745908894,0.75,0.75,0.4847869461112654,medium,0.6456220515954495,0.3543779484045505,0.12207418696516481,0.615122412256303,0.3376368851317333,4,0.05409869825156709,0.1569692994226272,1,0
