model,prompt_id,prompt,target,task,topic,observed_condition,layer,subspace_family,subspace_k,rep,rho,v_access,v_inaccess,entropy,varentropy,confidence,rank_whitened_jb,grad_entropy_proj_norm,grad_varentropy_proj_norm
distilbert-base-uncased,0,Yesterday they waited near the [MASK].,,ambiguous_open,open,ambiguous,2,state_pca,8,0,0.18214511802346953,0.04096006972553688,0.18391595314024836,3.3668876004536585,0.22487602286578556,0.08445976825083933,8,0.0345695400072507,0.08853578930084569
distilbert-base-uncased,0,Yesterday they waited near the [MASK].,,ambiguous_open,open,ambiguous,2,delta_pca,8,0,0.439600735951578,0.09885566514966307,0.12602035771612213,3.3668876004536585,0.22487602286578556,0.08445976825083933,8,0.08600178036385135,0.20648315074656598
distilbert-base-uncased,0,Yesterday they waited near the [MASK].,,ambiguous_open,open,ambiguous,2,random,8,0,0.2879228187230142,0.06474693836673787,0.16012908449904745,3.3668876004536585,0.22487602286578556,0.08445976825083933,8,0.046014685912426544,0.1165731327296719
distilbert-base-uncased,1,People in China often speak [MASK].,chinese,factual_deep,language,error,2,state_pca,8,0,0.7090128842717395,0.8777135896862778,0.3602238429850885,2.8332954942790387,1.2379374326713686,0.2291749019079063,8,0.2631991253011618,0.5128914006865296
distilbert-base-uncased,1,People in China often speak [MASK].,chinese,factual_deep,language,error,2,delta_pca,8,0,0.5251875820104721,0.6501493669449265,0.5877880657264405,2.8332954942790387,1.2379374326713686,0.2291749019079063,8,0.1488970118805741,0.42583328058154646
distilbert-base-uncased,1,People in China often speak [MASK].,chinese,factual_deep,language,error,2,random,8,0,0.7239952900459999,0.8962608706257065,0.34167656204565916,2.8332954942790387,1.2379374326713686,0.2291749019079063,8,0.3111062491339606,0.6954131270141621
distilbert-base-uncased,2,A person who teaches is a [MASK].,teacher,factual_simple,role,correct,2,state_pca,8,0,0.49484056385567854,0.1351554828808375,0.13797386978932055,3.3374257505759224,0.27312935267015814,0.08716570388859478,8,0.0881942435819615,0.21227719325953912
distilbert-base-uncased,2,A person who teaches is a [MASK].,teacher,factual_simple,role,correct,2,delta_pca,8,0,0.24266414416711832,0.06627870061262295,0.2068506520575351,3.3374257505759224,0.27312935267015814,0.08716570388859478,8,0.044935708633311505,0.09380893670730353
distilbert-base-uncased,2,A person who teaches is a [MASK].,teacher,factual_simple,role,correct,2,random,8,0,0.18782018018230887,0.05129920423158647,0.2218301484385716,3.3374257505759224,0.27312935267015814,0.08716570388859478,8,0.03949448358231714,0.09642503136005114
distilbert-base-uncased,3,The bat flew out of the [MASK].,,ambiguous_open,polysemy,ambiguous,2,state_pca,8,0,0.4391363303096079,0.08552897399592618,0.10923736186069707,3.3757646457673163,0.1947663358566239,0.07260821366131581,8,0.05233825086632413,0.12088910882527788
