model,prompt_id,prompt,task,topic,observed_condition,layer,subspace_family,subspace_k,rep,rho,v_access,varentropy,entropy,confidence,margin,source_id,source_token,edit_id,edit_token,edit_target_kind,initial_target_id,initial_target_token,initial_correct,rank_whitened_jb,current_logit_gap_source_minus_edit,required_logit_change,edit_grad_norm,estimated_linear_min_cost,actual_min_cost,edit_success,after_top1_id,after_top1_token,after_edit_margin,source_prob_before,source_prob_after,edit_prob_before,edit_prob_after,edit_prob_gain,source_prob_drop,candidate_kl,top10_jaccard,grad_entropy_proj_norm,fisher_output_fro_norm,side_n,side_top1_flip_rate,side_target_correct_change_rate,side_kl_mean,side_top10_jaccard_mean,side_abs_entropy_delta_mean,side_target_prob_drop_mean
distilbert-base-uncased,1,The continent containing Thailand is [MASK].,factual_deep,continent,error,2,state_pca,8,0,0.4765976966933603,0.26485733248684373,0.5557251625940002,3.2268303369166653,0.01838255232668624,0.4447031021118164,14128,underway,4021,asia,correction_to_target,4021,asia,0,8,5.261453866958618,5.261453866958618,1.6037978925180103,3.280621511915058,3.244172803749116,1,22216,enslaved,2.384185791015625e-06,0.01838255232668624,0.0009504627027089597,9.536421313025493e-05,0.0009504649687913318,0.0008551007556610769,0.01743208962397728,0.4569783215475362,0.3333333333333333,0.17015937349969146,0.5986261906847878,12.0,0.3333333333333333,0.0,0.2692926899004288,0.34132370897076775,0.21418572734879582,-0.001547661689913057
distilbert-base-uncased,1,The continent containing Thailand is [MASK].,factual_deep,continent,error,2,delta_pca,8,0,0.5494227341037626,0.30532803824265375,0.5557251625940002,3.2268303369166653,0.01838255232668624,0.4447031021118164,14128,underway,4021,asia,correction_to_target,4021,asia,0,8,5.261453866958618,5.261453866958618,0.8936058914097574,5.887890755350908,6.335235595703125,1,22216,enslaved,7.3909759521484375e-06,0.01838255232668624,0.00019421749460795217,9.536421313025493e-05,0.00019421893007008902,9.885471693983409e-05,0.01818833483207829,1.0260282492531916,0.25,0.15955540172132182,0.60157295020964,12.0,0.5833333333333334,0.0,0.6334716638836585,0.2087305682506921,0.5215647946864382,-6.649512674887682e-05
distilbert-base-uncased,1,The continent containing Thailand is [MASK].,factual_deep,continent,error,2,random,8,0,0.4203052021168558,0.2335741767854939,0.5557251625940002,3.2268303369166653,0.01838255232668624,0.4447031021118164,14128,underway,4021,asia,correction_to_target,4021,asia,0,8,5.261453866958618,5.261453866958618,0.7924559941102316,6.639427180894973,6.87945556640625,1,22839,clockwise,6.198883056640625e-06,0.01838255232668624,0.0009477425820150698,9.536421313025493e-05,0.0009477484569787127,0.0008523842438484578,0.01743480974467117,0.5143309279367725,0.17647058823529413,0.10057488920072079,0.5290916507963163,12.0,0.75,0.0,0.49706900656544195,0.17374727668845316,0.3004155030525254,-6.433445466458751e-05
distilbert-base-uncased,2,The language of Spain is [MASK].,factual_simple,language,correct,2,state_pca,8,0,0.5414811354187464,0.26325344048564503,0.4861728752231814,3.2646951963408335,0.01973206902296088,1.0842385292053223,14128,underway,3009,spanish,correction_to_target,3009,spanish,1,8,6.531917095184326,6.531917095184326,1.1845196320519547,5.514401719006568,5.004425048828125,1,11734,paramount,8.821487426757812e-06,0.01973206902296088,0.00019281616091273797,2.8734065358321253e-05,0.00019281786184557952,0.00016408379648725826,0.019539252862048145,0.8301113564511446,0.17647058823529413,0.16773020078768008,0.5856466557451672,12.0,0.6666666666666666,0.0,0.4806430686490697,0.21872082166199816,0.26537381197118987,-0.0008883552296645199
distilbert-base-uncased,2,The language of Spain is [MASK].,factual_simple,language,correct,2,delta_pca,8,0,0.5870508662341047,0.28540820753929425,0.4861728752231814,3.2646951963408335,0.01973206902296088,1.0842385292053223,14128,underway,3009,spanish,correction_to_target,3009,spanish,1,8,6.531917095184326,6.531917095184326,1.2131663067704925,5.384189338865341,5.192626953125,1,22216,enslaved,3.24249267578125e-05,0.01973206902296088,0.0004758627468790469,2.8734065358321253e-05,0.0004758781769439193,0.0004471441115855981,0.019256206276081836,0.8706889804245789,0.25,0.17489987782767794,0.5822289919543805,12.0,0.8333333333333334,0.0,0.48259465365785176,0.2174850934525857,0.40267686189753943,-0.00011232409274771937
distilbert-base-uncased,2,The language of Spain is [MASK].,factual_simple,language,correct,2,random,8,0,0.44192129538111813,0.21485014679779124,0.4861728752231814,3.2646951963408335,0.01973206902296088,1.0842385292053223,14128,underway,3009,spanish,correction_to_target,3009,spanish,1,8,6.531917095184326,6.531917095184326,0.4238737975819708,15.410051606035289,8.0,0,22839,clockwise,-2.7767271995544434,0.01973206902296088,0.0007272878915027735,2.8734065358321253e-05,4.526776541297752e-05,1.6533700054656265e-05,0.019004781131458107,0.6319435666810058,0.17647058823529413,0.08831915621827406,0.5100973326986533,12.0,0.8333333333333334,0.0,0.6123025173347367,0.12489250085999314,0.41301903281453556,-6.804183672281252e-05
distilbert-base-uncased,4,The dolphin is classified as a [MASK].,factual_deep,animal_class,error,2,state_pca,8,0,0.35883458562609805,0.03722150309975102,0.1037288616837383,3.422776836596244,0.006375669795988109,0.3303685188293457,6821,nurse,25476,mammal,correction_to_target,25476,mammal,0,8,5.891316652297974,5.891316652297974,0.5872034464370387,10.032837320769461,8.0,0,6578,gap,-0.6247735023498535,0.006375669795988109,0.0005988054223724857,1.761811753992472e-05,0.0003205900504543983,0.00030297193291447356,0.005776864373615623,0.8016817070764751,0.1111111111111111,0.03801935943695916,0.4874338003335069,12.0,0.9166666666666666,0.0,0.5895852643428897,0.1277806444215113,0.5226069773799582,-9.032982637114119e-05
distilbert-base-uncased,4,The dolphin is classified as a [MASK].,factual_deep,animal_class,error,2,delta_pca,8,0,0.21969497323072462,0.022788709490862393,0.1037288616837383,3.422776836596244,0.006375669795988109,0.3303685188293457,6821,nurse,25476,mammal,correction_to_target,25476,mammal,0,8,5.891316652297974,5.891316652297974,0.8179462770274,7.202571633076365,7.071624755859375,1,6578,gap,2.4557113647460938e-05,0.006375669795988109,0.00021640180325724497,1.761811753992472e-05,0.00021640711752617234,0.00019878899998624762,0.006159267992730864,0.9312961907601981,0.05263157894736842,0.02673254475384061,0.5190823676392521,12.0,0.5833333333333334,0.0,0.5806165492680528,0.17997671403244161,0.6012803898669191,-0.0008135361984402262
distilbert-base-uncased,4,The dolphin is classified as a [MASK].,factual_deep,animal_class,error,2,random,8,0,0.4796812385054519,0.04975678884121624,0.1037288616837383,3.422776836596244,0.006375669795988109,0.3303685188293457,6821,nurse,25476,mammal,correction_to_target,25476,mammal,0,8,5.891316652297974,5.891316652297974,0.9386533002660001,6.276350011903718,6.592498779296875,1,26696,valkyrie,1.6927719116210938e-05,0.006375669795988109,0.00012966767805891973,1.761811753992472e-05,0.00012966987305553044,0.00011205175551560573,0.0062460021179291895,0.5435249695997026,0.0,0.04817514657255226,0.5261920915118843,12.0,0.9166666666666666,0.0,0.5412762397551171,0.1699346405228758,0.4581780831336501,-0.00011906169831911077
distilbert-base-uncased,5,The opposite of yes is [MASK].,factual_simple,lexical,error,2,state_pca,8,0,0.22515716885979523,0.05076913375494465,0.2254830881558934,3.3580833065474938,0.008069247049400855,0.19871091842651367,20212,backstage,2053,no,correction_to_target,2053,no,0,8,6.500111103057861,6.500111103057861,1.0023763286795468,6.48470132132969,6.35382080078125,1,9662,uncertain,2.2411346435546875e-05,0.008069247049400855,0.0013279292826508836,1.2130274486429583e-05,0.00132795904366757,0.0013158287691811404,0.006741317766749971,0.5402508202659402,0.1111111111111111,0.04950883795991692,0.5877388002963186,12.0,0.9166666666666666,0.0,0.5452357502178952,0.14398434812521502,0.3953947714173711,0.00040535585441756733
